Date,Open Price,Close Price,High Price,Low Price,Volume
27-Feb-2009,749.93,735.09,751.27,734.52,8926480384
02-Mar-2009,729.57,700.82,729.57,699.70,7868289536
03-Mar-2009,704.44,696.33,711.67,692.30,7583230464
04-Mar-2009,698.60,712.87,724.12,698.60,7673619968
05-Mar-2009,708.27,682.55,708.27,677.93,7507249664
06-Mar-2009,684.04,683.38,699.09,666.79,7331830272
09-Mar-2009,680.76,676.53,695.27,672.88,7277320192
10-Mar-2009,679.28,719.60,719.60,679.28,8618330112
11-Mar-2009,719.59,721.36,731.92,713.85,7287809536
12-Mar-2009,720.89,750.74,752.63,714.76,7326630400
13-Mar-2009,751.97,756.55,758.29,742.46,6787089408
16-Mar-2009,758.84,753.89,774.53,753.37,7883539968
17-Mar-2009,753.88,778.12,778.12,749.93,6156800000
18-Mar-2009,776.01,794.35,803.04,765.64,9098449920
19-Mar-2009,797.92,784.04,803.24,781.82,9033870336
20-Mar-2009,784.58,768.54,788.91,766.20,7643720192
23-Mar-2009,772.31,822.92,823.37,772.31,7715769344
24-Mar-2009,820.60,806.12,823.65,805.48,6767980032
25-Mar-2009,806.81,813.88,826.78,791.37,7687179776
26-Mar-2009,814.06,832.86,832.98,814.06,6992960000
27-Mar-2009,828.68,815.94,828.68,813.43,5600209920
30-Mar-2009,809.07,787.53,809.07,779.81,5912659968
31-Mar-2009,790.88,797.87,810.48,790.88,6089099776
01-Apr-2009,793.59,811.08,813.62,783.32,6034140160
02-Apr-2009,814.53,834.38,845.61,814.53,7542809600
03-Apr-2009,835.13,842.50,842.50,826.70,5855640064
06-Apr-2009,839.75,835.48,839.75,822.79,6209999872
07-Apr-2009,834.12,815.55,834.12,814.53,5155579904
08-Apr-2009,816.76,825.16,828.42,814.84,5938460160
09-Apr-2009,829.29,856.56,856.91,829.29,7600710656
13-Apr-2009,855.33,858.73,864.31,845.35,6434890240
14-Apr-2009,856.88,841.50,856.88,840.25,7569840128
15-Apr-2009,839.44,852.06,852.93,835.58,6241099776
16-Apr-2009,854.54,865.30,870.35,847.04,6598669824
17-Apr-2009,865.18,869.60,875.63,860.87,7352009728
20-Apr-2009,868.27,832.39,868.27,832.39,6973960192
21-Apr-2009,831.25,850.08,850.09,826.83,7436489728
22-Apr-2009,847.26,843.55,861.78,840.57,7327860224
23-Apr-2009,844.62,851.92,852.87,835.45,6563100160
24-Apr-2009,853.91,866.23,871.80,853.91,7114440192
27-Apr-2009,862.82,857.51,868.83,854.65,5613459968
28-Apr-2009,854.48,855.16,864.48,847.12,6328000000
29-Apr-2009,856.85,873.64,882.06,856.85,6101620224
30-Apr-2009,876.59,872.81,888.70,868.51,6862539776
01-May-2009,872.74,877.52,880.48,866.10,5312169984
04-May-2009,879.21,907.24,907.85,879.21,7038839808
05-May-2009,906.10,903.80,907.70,897.34,6882860032
06-May-2009,903.95,919.53,920.28,903.95,8555039744
07-May-2009,919.58,907.39,929.58,901.36,9120100352
08-May-2009,909.03,929.23,930.17,909.03,8163279872
11-May-2009,922.99,909.24,922.99,908.68,6150600192
12-May-2009,910.52,908.35,915.57,896.46,6871750656
13-May-2009,905.40,883.92,905.40,882.80,7091820032
14-May-2009,884.24,893.07,898.36,882.52,6134870016
15-May-2009,892.76,882.88,896.97,878.94,5439719936
18-May-2009,886.07,909.71,910.00,886.07,5702150144
19-May-2009,909.67,908.13,916.39,905.22,6616269824
20-May-2009,908.62,903.47,924.60,901.37,8205060096
21-May-2009,900.42,888.33,900.42,879.61,6019840000
22-May-2009,888.68,887.00,896.65,883.75,5155319808
26-May-2009,887.00,910.33,911.76,881.46,5667049984
27-May-2009,909.95,893.06,913.84,891.87,5698800128
28-May-2009,892.96,906.83,909.45,887.60,5738979840
29-May-2009,907.02,919.14,920.02,903.56,6050420224
01-Jun-2009,923.26,942.87,947.77,923.26,6370440192
02-Jun-2009,942.87,944.74,949.38,938.46,5987339776
03-Jun-2009,942.51,931.76,942.51,923.85,5323769856
04-Jun-2009,932.49,942.46,942.47,929.32,5352889856
05-Jun-2009,945.67,940.09,951.69,934.13,5277910016
08-Jun-2009,938.12,939.14,946.33,926.44,4483429888
09-Jun-2009,940.35,942.43,946.92,936.15,4439949824
10-Jun-2009,942.73,939.15,949.77,927.97,5379420160
11-Jun-2009,939.04,944.89,956.23,939.04,5500839936
12-Jun-2009,943.44,946.21,946.30,935.66,4528119808
15-Jun-2009,942.45,923.72,942.45,919.65,4697880064
16-Jun-2009,925.60,911.97,928.00,911.60,4951199744
17-Jun-2009,911.89,910.71,918.44,903.78,5523650048
18-Jun-2009,910.86,918.37,921.93,907.94,4684009984
19-Jun-2009,919.96,921.23,927.09,915.80,5713390080
22-Jun-2009,918.13,893.04,918.13,893.04,4903940096
23-Jun-2009,893.46,895.10,898.69,888.86,5071020032
24-Jun-2009,896.31,900.94,910.85,896.31,4636720128
25-Jun-2009,899.45,920.26,921.42,896.27,4911240192
26-Jun-2009,918.84,918.90,922.00,913.03,6076660224
29-Jun-2009,919.86,927.23,927.99,916.18,4211760128
30-Jun-2009,927.15,919.32,930.01,912.86,4627570176
01-Jul-2009,920.82,923.33,931.92,920.82,3919399936
02-Jul-2009,921.24,896.42,921.24,896.42,3931000064
06-Jul-2009,894.27,898.72,898.72,886.36,4712580096
07-Jul-2009,898.60,881.03,898.60,879.93,4673299968
08-Jul-2009,881.90,879.56,886.80,869.32,5721780224
09-Jul-2009,881.28,882.68,887.86,878.45,4347169792
10-Jul-2009,880.03,879.13,883.57,872.81,3912079872
13-Jul-2009,879.57,901.05,901.05,875.32,4499440128
14-Jul-2009,900.77,905.84,905.84,896.50,4149029888
15-Jul-2009,910.15,932.68,933.95,910.15,5238830080
16-Jul-2009,930.17,940.74,943.96,927.45,4898639872
17-Jul-2009,940.56,940.38,941.89,934.65,5141380096
20-Jul-2009,942.07,951.13,951.62,940.99,4853150208
21-Jul-2009,951.97,954.58,956.53,943.22,5309300224
22-Jul-2009,953.40,954.07,959.83,947.75,4634100224
23-Jul-2009,954.07,976.29,979.42,953.27,5761650176
24-Jul-2009,972.16,979.26,979.79,965.95,4458299904
27-Jul-2009,978.63,982.18,982.49,972.29,4631289856
28-Jul-2009,981.48,979.62,982.35,969.35,5490350080
29-Jul-2009,977.66,975.15,977.76,968.65,5178769920
30-Jul-2009,976.01,986.75,996.68,976.01,6035180032
31-Jul-2009,986.80,987.48,993.18,982.85,5139069952
03-Aug-2009,990.22,1002.63,1003.61,990.22,5603440128
04-Aug-2009,1001.41,1005.65,1007.12,996.68,5713699840
05-Aug-2009,1005.41,1002.72,1006.64,994.31,7242120192
06-Aug-2009,1004.06,997.08,1008.00,992.49,6753379840
07-Aug-2009,999.83,1010.48,1018.00,999.83,6827089408
10-Aug-2009,1008.89,1007.10,1010.12,1000.99,5406080000
11-Aug-2009,1005.77,994.35,1005.77,992.40,5773159936
12-Aug-2009,994.00,1005.81,1012.78,993.36,5498169856
13-Aug-2009,1005.86,1012.73,1013.14,1000.82,5250659840
14-Aug-2009,1012.23,1004.09,1012.60,994.60,4940749824
17-Aug-2009,998.18,979.73,998.18,978.51,4088570112
18-Aug-2009,980.62,989.67,991.20,980.62,4198970112
19-Aug-2009,986.88,996.46,999.61,980.62,4256999936
20-Aug-2009,996.41,1007.37,1008.92,996.39,4893159936
21-Aug-2009,1009.06,1026.13,1027.59,1009.06,5885550080
24-Aug-2009,1026.59,1025.57,1035.82,1022.48,6302450176
25-Aug-2009,1026.63,1028.00,1037.75,1026.21,5768739840
26-Aug-2009,1027.35,1028.12,1032.47,1021.57,5080059904
27-Aug-2009,1027.81,1030.98,1033.33,1016.20,5785880064
28-Aug-2009,1031.62,1028.93,1039.47,1023.13,5785780224
31-Aug-2009,1025.21,1020.62,1025.21,1014.62,5004559872
01-Sep-2009,1019.52,998.04,1028.45,996.28,6862360064
02-Sep-2009,996.07,994.75,1000.34,991.97,5842729984
03-Sep-2009,996.12,1003.24,1003.43,992.25,4624280064
04-Sep-2009,1003.84,1016.40,1016.48,1001.65,4097370112
08-Sep-2009,1018.67,1025.39,1026.07,1018.67,5235160064
09-Sep-2009,1025.36,1033.37,1036.34,1023.97,5202549760
10-Sep-2009,1032.99,1044.14,1044.14,1028.04,5191379968
11-Sep-2009,1043.92,1042.73,1048.18,1038.40,4922599936
14-Sep-2009,1040.15,1049.34,1049.74,1035.00,4979610112
15-Sep-2009,1049.03,1052.63,1056.04,1043.42,6185619968
16-Sep-2009,1053.99,1068.76,1068.76,1052.87,6793529344
17-Sep-2009,1067.87,1065.49,1074.77,1061.20,6668109824
18-Sep-2009,1066.60,1068.30,1071.52,1064.27,5607969792
21-Sep-2009,1067.14,1064.66,1067.28,1057.46,4615280128
22-Sep-2009,1066.35,1071.66,1073.81,1066.35,5246600192
23-Sep-2009,1072.69,1060.87,1080.15,1060.39,5531930112
24-Sep-2009,1062.56,1050.78,1066.29,1045.85,5505610240
25-Sep-2009,1049.48,1044.38,1053.47,1041.17,4507089920
28-Sep-2009,1045.38,1062.98,1065.13,1045.38,3726949888
29-Sep-2009,1063.69,1060.61,1069.62,1057.83,4949899776
30-Sep-2009,1061.02,1057.08,1063.40,1046.47,5998859776
01-Oct-2009,1054.91,1029.85,1054.91,1029.45,5791450112
02-Oct-2009,1029.71,1025.21,1030.60,1019.95,5583240192
05-Oct-2009,1026.87,1040.46,1042.58,1025.92,4313310208
06-Oct-2009,1042.02,1054.72,1060.55,1042.02,5029839872
07-Oct-2009,1053.65,1057.58,1058.02,1050.10,4238220032
08-Oct-2009,1060.03,1065.48,1070.67,1060.03,4988400128
09-Oct-2009,1065.28,1071.49,1071.51,1063.00,3763780096
12-Oct-2009,1071.63,1076.19,1079.46,1071.63,3710429952
13-Oct-2009,1074.96,1073.19,1075.30,1066.71,4320480256
14-Oct-2009,1078.68,1092.02,1093.17,1078.68,5406419968
15-Oct-2009,1090.36,1096.56,1096.56,1086.41,5369780224
16-Oct-2009,1094.67,1087.68,1094.67,1081.53,4894739968
19-Oct-2009,1088.22,1097.91,1100.17,1086.48,4619239936
20-Oct-2009,1098.64,1091.06,1098.64,1086.16,5396930048
21-Oct-2009,1090.36,1081.40,1101.36,1080.77,5616289792
22-Oct-2009,1080.96,1092.91,1095.21,1074.31,5192410112
23-Oct-2009,1095.62,1079.60,1095.83,1075.49,4767459840
26-Oct-2009,1080.36,1066.95,1091.75,1065.23,6363380224
27-Oct-2009,1067.54,1063.41,1072.48,1060.62,5337379840
28-Oct-2009,1061.51,1042.63,1063.26,1042.19,6600350208
29-Oct-2009,1043.69,1066.11,1066.83,1043.69,5595039744
30-Oct-2009,1065.41,1036.19,1065.41,1033.38,6512419840
02-Nov-2009,1036.18,1042.88,1052.18,1029.38,6202639872
03-Nov-2009,1040.92,1045.41,1046.36,1033.94,5487499776
04-Nov-2009,1047.14,1046.50,1061.00,1045.15,5635509760
05-Nov-2009,1047.30,1066.63,1066.65,1047.30,4848350208
06-Nov-2009,1064.95,1069.30,1071.48,1059.32,4277129984
09-Nov-2009,1072.31,1093.08,1093.19,1072.31,4460029952
10-Nov-2009,1091.86,1093.01,1096.42,1087.40,4394769920
11-Nov-2009,1096.04,1098.51,1105.37,1093.81,4286700032
12-Nov-2009,1098.31,1087.24,1101.97,1084.90,4160250112
13-Nov-2009,1087.59,1093.48,1097.79,1085.33,3792610048
16-Nov-2009,1094.13,1109.30,1113.69,1094.13,4565850112
17-Nov-2009,1109.22,1110.32,1110.52,1102.19,3824069888
18-Nov-2009,1109.44,1109.80,1111.10,1102.70,4293339904
19-Nov-2009,1106.44,1094.90,1106.44,1088.40,4178030080
20-Nov-2009,1094.66,1091.38,1094.66,1086.81,3751229952
23-Nov-2009,1094.86,1106.24,1112.38,1094.86,3827919872
24-Nov-2009,1105.83,1105.65,1107.56,1097.63,3700819968
25-Nov-2009,1106.49,1110.63,1111.18,1104.75,3036349952
27-Nov-2009,1105.47,1091.49,1105.47,1083.74,2362909952
30-Nov-2009,1091.07,1095.63,1097.24,1086.25,3895520000
01-Dec-2009,1098.89,1108.86,1112.28,1098.89,4249309952
02-Dec-2009,1109.03,1109.24,1115.58,1105.29,3941339904
03-Dec-2009,1110.59,1099.92,1117.28,1098.74,4810030080
04-Dec-2009,1100.43,1105.98,1119.13,1096.52,5781139968
07-Dec-2009,1105.52,1103.25,1110.72,1100.83,4103360000
08-Dec-2009,1103.04,1091.94,1103.04,1088.61,4748029952
09-Dec-2009,1091.07,1095.95,1097.04,1085.89,4115409920
10-Dec-2009,1098.69,1102.35,1106.25,1098.69,3996489984
11-Dec-2009,1103.96,1106.41,1108.50,1101.34,3791089920
14-Dec-2009,1107.84,1114.11,1114.76,1107.84,4548490240
15-Dec-2009,1114.11,1107.93,1114.11,1105.35,5045100032
16-Dec-2009,1108.61,1109.18,1116.21,1107.96,4829819904
17-Dec-2009,1106.36,1096.08,1106.36,1095.88,7615070208
18-Dec-2009,1097.86,1102.47,1103.74,1093.88,6325890048
21-Dec-2009,1105.31,1114.05,1117.68,1105.31,3977339904
22-Dec-2009,1114.51,1118.02,1120.27,1114.51,3641129984
23-Dec-2009,1118.84,1120.59,1121.58,1116.00,3166870016
24-Dec-2009,1121.08,1126.48,1126.48,1121.08,1267709952
28-Dec-2009,1127.53,1127.78,1130.38,1123.51,2716400128
29-Dec-2009,1128.55,1126.20,1130.38,1126.08,2491020032
30-Dec-2009,1125.53,1126.42,1126.42,1121.94,2277299968
31-Dec-2009,1126.60,1115.10,1127.64,1114.81,2076989952
04-Jan-2010,1116.56,1132.99,1133.87,1116.56,3991399936
05-Jan-2010,1132.66,1136.52,1136.63,1129.66,2491020032
06-Jan-2010,1135.71,1137.14,1139.19,1133.95,4972660224
07-Jan-2010,1136.27,1141.69,1142.46,1131.32,5270680064
08-Jan-2010,1140.52,1144.98,1145.39,1136.22,4389590016
11-Jan-2010,1145.96,1146.98,1149.74,1142.02,4255780096
12-Jan-2010,1143.81,1136.22,1143.81,1131.77,4716160000
13-Jan-2010,1137.31,1145.68,1148.40,1133.18,4170360064
14-Jan-2010,1145.68,1148.46,1150.41,1143.80,3915200000
15-Jan-2010,1147.72,1136.03,1147.77,1131.39,4758730240
19-Jan-2010,1136.03,1150.23,1150.45,1135.77,4724830208
20-Jan-2010,1147.95,1138.04,1147.95,1129.25,4810560000
21-Jan-2010,1138.68,1116.48,1141.58,1114.84,6874289664
22-Jan-2010,1115.49,1091.76,1115.49,1090.18,6208650240
25-Jan-2010,1092.40,1096.78,1102.97,1092.40,4481390080
26-Jan-2010,1095.80,1092.17,1103.69,1089.86,4731910144
27-Jan-2010,1091.94,1097.50,1099.51,1083.11,5319119872
28-Jan-2010,1096.93,1084.53,1100.22,1078.46,5452400128
29-Jan-2010,1087.61,1073.87,1096.45,1071.59,5412850176
01-Feb-2010,1073.89,1089.19,1089.38,1073.89,4077609984
02-Feb-2010,1090.05,1103.32,1104.73,1087.96,4749539840
03-Feb-2010,1100.67,1097.28,1102.72,1093.97,4285449984
04-Feb-2010,1097.25,1063.11,1097.25,1062.78,5859689984
05-Feb-2010,1064.12,1066.19,1067.13,1044.50,6438900224
08-Feb-2010,1065.51,1056.74,1071.20,1056.51,4089819904
09-Feb-2010,1060.06,1070.52,1079.28,1060.06,5114259968
10-Feb-2010,1069.68,1068.13,1073.67,1059.34,4251450112
11-Feb-2010,1067.10,1078.47,1080.04,1060.59,4400869888
12-Feb-2010,1075.95,1075.51,1077.81,1062.97,4160679936
16-Feb-2010,1079.13,1094.87,1095.67,1079.13,4080770048
17-Feb-2010,1096.14,1099.51,1101.03,1094.72,4259229952
18-Feb-2010,1099.03,1106.75,1108.24,1097.48,3878619904
19-Feb-2010,1105.49,1109.17,1112.42,1100.80,3944280064
22-Feb-2010,1110.00,1108.01,1112.29,1105.38,3814439936
23-Feb-2010,1107.49,1094.60,1108.58,1092.18,4521050112
24-Feb-2010,1095.89,1105.24,1106.42,1095.50,4168359936
25-Feb-2010,1101.24,1102.94,1103.50,1086.02,4521129984
26-Feb-2010,1103.10,1104.49,1107.24,1097.56,3945189888
01-Mar-2010,1105.36,1115.71,1116.11,1105.36,3847640064
02-Mar-2010,1117.01,1118.31,1123.46,1116.51,4134680064
03-Mar-2010,1119.36,1118.79,1125.64,1116.58,3951320064
04-Mar-2010,1119.12,1122.97,1123.73,1116.66,3945009920
05-Mar-2010,1125.12,1138.70,1139.38,1125.12,4132999936
08-Mar-2010,1138.40,1138.50,1141.05,1136.77,3774680064
09-Mar-2010,1137.56,1140.45,1145.37,1134.90,5185569792
10-Mar-2010,1140.22,1145.61,1148.26,1140.09,5469120000
11-Mar-2010,1143.96,1150.24,1150.24,1138.99,4669060096
12-Mar-2010,1151.71,1149.99,1153.41,1146.97,4928159744
15-Mar-2010,1148.53,1150.51,1150.98,1141.45,4164110080
16-Mar-2010,1150.83,1159.46,1160.28,1150.35,4369769984
17-Mar-2010,1159.94,1166.21,1169.84,1159.94,4963200000
18-Mar-2010,1166.13,1165.83,1167.77,1161.16,4234510080
19-Mar-2010,1166.68,1159.90,1169.20,1155.33,5212409856
22-Mar-2010,1157.25,1165.81,1167.82,1152.88,4261680128
23-Mar-2010,1166.47,1174.17,1174.72,1163.83,4411639808
24-Mar-2010,1172.70,1167.72,1173.04,1166.01,4705750016
25-Mar-2010,1170.03,1165.73,1180.69,1165.09,5668899840
26-Mar-2010,1167.58,1166.59,1173.93,1161.48,4708420096
29-Mar-2010,1167.71,1173.22,1174.85,1167.71,4375580160
30-Mar-2010,1173.75,1173.27,1177.83,1168.92,4084999936
31-Mar-2010,1171.75,1169.43,1174.56,1165.77,4484340224
01-Apr-2010,1171.23,1178.10,1181.43,1170.69,4006870016
05-Apr-2010,1178.71,1187.44,1187.73,1178.71,3881619968
06-Apr-2010,1186.01,1189.44,1191.80,1182.77,4086180096
07-Apr-2010,1188.23,1182.45,1189.60,1177.25,5101429760
08-Apr-2010,1181.75,1186.44,1188.55,1175.12,4726969856
09-Apr-2010,1187.47,1194.37,1194.66,1187.15,4511569920
12-Apr-2010,1194.94,1196.48,1199.20,1194.71,4607090176
13-Apr-2010,1195.94,1197.30,1199.04,1188.82,5403579904
14-Apr-2010,1198.69,1210.65,1210.65,1198.69,5760039936
15-Apr-2010,1210.77,1211.67,1213.92,1208.50,5995330048
16-Apr-2010,1210.17,1192.13,1210.17,1186.77,8108470272
19-Apr-2010,1192.06,1197.52,1197.87,1183.68,6597740032
20-Apr-2010,1199.04,1207.17,1208.58,1199.04,5316590080
21-Apr-2010,1207.16,1205.94,1210.99,1198.85,5724310016
22-Apr-2010,1202.52,1208.67,1210.27,1190.19,6035780096
23-Apr-2010,1207.87,1217.28,1217.28,1205.10,5326060032
26-Apr-2010,1217.07,1212.05,1219.80,1211.07,5647759872
27-Apr-2010,1209.92,1183.71,1211.38,1181.62,7454539776
28-Apr-2010,1184.59,1191.36,1195.05,1181.81,6342309888
29-Apr-2010,1193.30,1206.78,1209.36,1193.30,6059409920
30-Apr-2010,1206.77,1186.69,1207.99,1186.32,6048260096
03-May-2010,1188.58,1202.26,1205.13,1188.58,4938050048
04-May-2010,1197.50,1173.60,1197.50,1168.12,6594719744
05-May-2010,1169.24,1165.87,1175.94,1158.15,5345739776
06-May-2010,1164.38,1128.15,1167.58,1065.79,8499845632
07-May-2010,1127.04,1110.88,1135.13,1094.15,7908571136
10-May-2010,1122.27,1159.73,1163.85,1122.27,5894190592
11-May-2010,1156.39,1155.79,1170.48,1147.71,4757018112
12-May-2010,1155.43,1171.67,1172.87,1155.43,4303021056
13-May-2010,1170.04,1157.43,1173.57,1156.14,3991357440
14-May-2010,1157.18,1135.68,1157.19,1126.14,5020334080
17-May-2010,1136.52,1136.94,1141.88,1114.96,4800825856
18-May-2010,1138.78,1120.80,1148.66,1117.20,5095633408
19-May-2010,1119.57,1115.05,1124.27,1100.66,5459280384
20-May-2010,1107.34,1071.59,1107.34,1071.58,6804612608
21-May-2010,1067.26,1087.69,1090.16,1055.90,6898945024
24-May-2010,1084.78,1073.65,1089.95,1072.70,4342348288
25-May-2010,1067.42,1074.03,1074.75,1040.78,6034440704
26-May-2010,1075.51,1067.95,1090.75,1065.59,5942965248
27-May-2010,1074.27,1103.06,1103.52,1074.27,4512457728
28-May-2010,1102.59,1089.41,1102.59,1084.78,4119971840
01-Jun-2010,1087.30,1070.71,1094.77,1069.89,4233958912
02-Jun-2010,1073.01,1098.38,1098.56,1072.03,4050759680
03-Jun-2010,1098.82,1102.83,1105.67,1091.81,3976068608
04-Jun-2010,1098.43,1064.88,1098.43,1060.50,5272601088
07-Jun-2010,1065.84,1050.47,1071.36,1049.86,4641607680
08-Jun-2010,1050.81,1062.00,1063.15,1042.17,5141008384
09-Jun-2010,1062.75,1055.69,1077.74,1052.25,4999515648
10-Jun-2010,1058.77,1086.84,1087.85,1058.77,4223705088
11-Jun-2010,1082.65,1091.60,1092.25,1077.12,3299004160
14-Jun-2010,1095.00,1089.63,1105.91,1089.03,3410038016
15-Jun-2010,1091.21,1115.23,1115.59,1091.21,3697936640
16-Jun-2010,1114.02,1114.61,1118.74,1107.13,3393684480
17-Jun-2010,1115.98,1116.04,1117.72,1105.87,3523781888
18-Jun-2010,1116.16,1117.51,1121.01,1113.93,3881388800
21-Jun-2010,1122.79,1113.20,1131.23,1108.24,3476544512
22-Jun-2010,1113.90,1095.31,1118.50,1094.18,3527638016
23-Jun-2010,1095.57,1092.04,1099.64,1085.31,3682042112
24-Jun-2010,1090.93,1073.69,1090.93,1071.60,4146615296
25-Jun-2010,1075.10,1076.76,1083.56,1067.89,5685122048
28-Jun-2010,1077.50,1074.57,1082.60,1071.45,3412819968
29-Jun-2010,1071.10,1041.24,1071.10,1035.18,5306515968
30-Jun-2010,1040.56,1030.71,1048.08,1028.33,4381456384
01-Jul-2010,1031.10,1027.37,1033.58,1010.91,5445166080
02-Jul-2010,1027.65,1022.58,1032.95,1015.93,3291828992
06-Jul-2010,1028.09,1028.06,1042.50,1018.35,4021683456
07-Jul-2010,1028.54,1060.27,1060.89,1028.54,4178165248
08-Jul-2010,1062.92,1070.25,1071.25,1058.24,3818173440
09-Jul-2010,1070.50,1077.96,1078.16,1068.10,2919744256
12-Jul-2010,1077.23,1078.75,1080.78,1070.45,2913463552
13-Jul-2010,1080.65,1095.34,1099.46,1080.65,4004365568
14-Jul-2010,1095.61,1095.17,1099.08,1087.68,3610198272
15-Jul-2010,1094.46,1096.48,1098.66,1080.53,3904782080
16-Jul-2010,1093.85,1064.88,1093.85,1063.32,4801893888
19-Jul-2010,1066.85,1071.25,1074.70,1061.11,3526535680
20-Jul-2010,1064.53,1083.48,1083.94,1056.88,3978723072
21-Jul-2010,1086.67,1069.59,1088.96,1065.25,4164918784
22-Jul-2010,1072.14,1093.67,1097.50,1072.14,4126588416
23-Jul-2010,1092.17,1102.66,1103.73,1087.88,3877972736
26-Jul-2010,1102.89,1115.01,1115.01,1101.30,3401113088
27-Jul-2010,1117.36,1113.84,1120.95,1109.78,3949238272
28-Jul-2010,1112.84,1106.13,1114.66,1103.11,3372256000
29-Jul-2010,1108.07,1101.53,1115.90,1092.82,4065637120
30-Jul-2010,1098.44,1101.60,1106.44,1088.01,3559977216
02-Aug-2010,1107.53,1125.86,1127.30,1107.53,3491944704
03-Aug-2010,1125.34,1120.46,1125.44,1116.76,3306420736
04-Aug-2010,1121.06,1127.24,1128.75,1119.46,3329163520
05-Aug-2010,1125.78,1125.81,1126.56,1118.81,2855106560
06-Aug-2010,1122.07,1121.64,1123.06,1107.17,3187447552
09-Aug-2010,1122.80,1127.79,1129.24,1120.91,2787515392
10-Aug-2010,1122.92,1121.06,1127.16,1111.58,3495174400
11-Aug-2010,1116.89,1089.47,1116.89,1088.55,3966967808
12-Aug-2010,1081.48,1083.61,1086.72,1076.69,3633155584
13-Aug-2010,1082.22,1079.25,1086.25,1079.00,2663313664
16-Aug-2010,1077.49,1079.38,1082.62,1069.49,2589711616
17-Aug-2010,1081.16,1092.54,1100.14,1081.16,3378307584
18-Aug-2010,1092.08,1094.16,1099.77,1085.76,3245234688
19-Aug-2010,1092.44,1075.63,1092.44,1070.66,3941771008
20-Aug-2010,1075.63,1071.69,1075.63,1063.91,3451371008
23-Aug-2010,1073.36,1067.36,1081.58,1067.08,2912427776
24-Aug-2010,1063.20,1051.87,1063.20,1046.68,3863085312
25-Aug-2010,1048.98,1055.33,1059.38,1039.83,3763407872
26-Aug-2010,1056.28,1047.22,1061.45,1045.40,3191529472
27-Aug-2010,1049.27,1064.59,1065.21,1039.70,3634069248
30-Aug-2010,1062.90,1048.92,1064.40,1048.79,2638118656
31-Aug-2010,1046.88,1049.33,1055.14,1040.88,3980733952
01-Sep-2010,1049.72,1080.29,1081.30,1049.72,3901788672
02-Sep-2010,1080.66,1090.10,1090.10,1080.39,3081915648
03-Sep-2010,1093.61,1104.51,1105.10,1093.61,2976884224
07-Sep-2010,1102.60,1091.84,1102.60,1091.15,2804453376
08-Sep-2010,1092.36,1098.87,1103.26,1092.36,2972467456
09-Sep-2010,1101.15,1104.18,1110.27,1101.15,2956465664
10-Sep-2010,1104.57,1109.55,1110.88,1103.92,2618010368
13-Sep-2010,1113.38,1121.90,1123.87,1113.38,3309057792
14-Sep-2010,1121.16,1121.10,1127.36,1115.58,3287773696
15-Sep-2010,1119.43,1125.07,1126.46,1114.63,3008001280
16-Sep-2010,1123.89,1124.66,1125.44,1118.88,3025791232
